               16, 6.8952377510234886e-01,1.9873449653619202e-01,6.8952377510234886e-01 
               64, 8.8825827163854087e-01,7.4653673906343743e-01,8.8825827163854087e-01 
              256, 1.4172153257510342e-01,2.8392992476289891e-01,1.4172153257510342e-01 
             1024,-1.4220839218779552e-01,1.4678971920162265e-02,1.4220839218779552e-01 
             4096,-1.2752942026763325e-01,1.4975651530658102e-01,1.2752942026763325e-01 
            16384, 2.2227095038947760e-02,3.2315206043078637e-02,2.2227095038947760e-02 
            65536,-1.0088111004130873e-02,1.1172354111771803e-03,1.0088111004130873e-02 
           262144,-1.1205346415308053e-02,1.5862429979521836e-02,1.1205346415308053e-02 
          1048576, 4.6570835642137844e-03,1.1897692194518085e-03,4.6570835642137844e-03 
          4194304, 5.8468527836655930e-03,3.2442244809695931e-03,5.8468527836655930e-03 
         16777216, 2.6026283026959998e-03,5.6075020141608785e-04,2.6026283026959998e-03 
         67108864, 3.1633785041120877e-03,3.6486997125633937e-03,3.1633785041120877e-03 
        268435456,-4.8532120845130617e-04,3.2317370239185708e-04,4.8532120845130617e-04 
       1000000000,-1.6214750605944911e-04,3.2317370239185708e-04,1.6214750605944911e-04  
